series,model,MAE,RMSE,MAPE(%)
UK,Naive,2160283.116382301,2244995.732778798,2.008235291156387
UK,Holt,5834608.69209867,5886038.47356903,5.4285759712080255
UK,LinearTrend,9302910.835330874,9370494.42836207,8.656124097095763
