region_name,year,vehicle_std,activity_km,share_activity,co2e_tonnes
North West,2016,bus,436453008.0,0.0076928750134738,230823.6289434
London,2016,bus,523679236.0,0.0162027585520091,276954.30994905
East of England,2016,bus,357434414.0,0.0060691848819637,189033.657774075
Yorkshire and the Humber,2016,bus,332972446.0,0.007382298895688,176096.640222675
South East,2016,bus,467030468.0,0.0053459385972345,246994.90088265002
West Midlands,2016,bus,423578288.0,0.0082516114469163,224014.67233740003
North East,2016,bus,207926728.0,0.0109795790028298,109964.6491869
South West,2017,bus,367895124.0,0.0064752786550908,194565.93501645
East Midlands,2017,bus,371596606.0,0.0080549508818932,196523.51004067503
Scotland,2017,bus,524644840.0,0.0109870110611565,277464.9816945
Wales,2017,bus,200040962.0,0.0066668812082984,105794.163265725
North West,2017,bus,335064588.0,0.0058819208624557,177203.09567115
London,2017,bus,506620232.0,0.0156965206378332,267932.4424461
East of England,2017,bus,342789420.0,0.0056224857194142,181288.46963475
Yorkshire and the Humber,2017,bus,332328710.0,0.0073542766988735,175756.192392375
South East,2017,bus,444016906.0,0.0050517257163782,234823.89094942503
West Midlands,2017,bus,398311650.0,0.007686526373326,210652.09499812502
North East,2017,bus,248160228.0,0.0128603954863514,131242.63858065
South West,2018,bus,355342272.0,0.0062593017816898,187927.2023256
East Midlands,2018,bus,362906170.0,0.0077980461658165,191927.464331625
Scotland,2018,bus,466386732.0,0.0097416021540437,246654.45305235003
Wales,2018,bus,196339480.0,0.0064452392398844,103836.58824150001
North West,2018,bus,319453990.0,0.0055390453866867,168947.235786375
London,2018,bus,501148476.0,0.015575529312906,265038.63588855
East of England,2018,bus,334581786.0,0.0054932714690735,176947.75979842502
Yorkshire and the Humber,2018,bus,326856954.0,0.007107437438103,172862.38583482502
South East,2018,bus,433556196.0,0.0049441897511754,229291.61370704998
West Midlands,2018,bus,366929520.0,0.0070433412622408,194055.263271
North East,2018,bus,243171274.0,0.0123523400776619,128604.167895825
South West,2019,bus,354376668.0,0.0061109631011056,187416.53058015002
East Midlands,2019,bus,359848424.0,0.0075825398117251,190310.3371377
Scotland,2019,bus,514184130.0,0.010635252449936,271932.704452125
Wales,2019,bus,185235034.0,0.006032115380584,97963.863168825
North West,2019,bus,320258660.0,0.0054399527626212,169372.79557425002
London,2019,bus,451098002.0,0.0138322073794801,238568.81708272503
East of England,2019,bus,332811512.0,0.0054471653931151,176011.5282651
Yorkshire and the Humber,2019,bus,308671412.0,0.0066239345756952,163244.73462885
South East,2019,bus,434521800.0,0.0049191259259799,229802.28545250001
West Midlands,2019,bus,283887576.0,0.0054113749309773,150137.4931623
