region_name,year,vehicle_std,activity_km,share_activity,co2e_tonnes
Yorkshire and the Humber,2021,lgv,7420827674.0,0.181562244062244,1501456.0632804201
South East,2021,lgv,13875890414.0,0.1838197044250957,2807508.90746462
West Midlands,2021,lgv,8038009564.0,0.1764813964170877,1626330.47508412
North East,2021,lgv,3195183636.0,0.1770260269453336,646481.50507188
South West,2022,lgv,9908545446.0,0.1817814099876586,2004796.00008918
East Midlands,2022,lgv,7846015302.0,0.1695125640196518,1587484.27605366
Scotland,2022,lgv,9332401726.0,0.1987422030296799,1888224.84122158
Wales,2022,lgv,5483665116.0,0.1876983077736647,1109509.96292028
North West,2022,lgv,9608403536.0,0.1699864475497397,1944068.2874388802
London,2022,lgv,4879357946.0,0.1588263643697549,987240.49321418
East of England,2022,lgv,11178636574.0,0.1873698464592842,2261773.53801742
Yorkshire and the Humber,2022,lgv,7614592210.0,0.1734776933681401,1540660.4418493002
South East,2022,lgv,14849541114.0,0.1787501380276287,3004507.6535956203
West Midlands,2022,lgv,8499729210.0,0.1689636639345835,1719750.2110593002
North East,2022,lgv,3358370712.0,0.1699556134707008,679499.14615896
South West,2023,lgv,10041637864.0,0.1799011057130912,2031724.5890231202
East Midlands,2023,lgv,7894134568.0,0.1669997446591199,1597220.24714344
Scotland,2023,lgv,9488829574.0,0.1976090249755339,1919874.8877074202
Wales,2023,lgv,5374873732.0,0.1805385126844008,1087498.20219556
North West,2023,lgv,9690479876.0,0.1676499658931132,1960674.79331108
London,2023,lgv,4811121930.0,0.1557307023118677,973434.3000969001
East of England,2023,lgv,11250413138.0,0.184445347376864,2276296.09021154
Yorkshire and the Humber,2023,lgv,7701818438.0,0.171660903625694,1558308.92456054
South East,2023,lgv,14815744974.0,0.1742817062989487,2997669.6805894203
West Midlands,2023,lgv,8513891402.0,0.1652160334785528,1722615.6473666602
North East,2023,lgv,3410030526.0,0.1672718947850387,689951.47632558
South West,2024,lgv,10194686098.0,0.1803221756964864,2062690.83820834
East Midlands,2024,lgv,7991499638.0,0.1666470902116606,1616920.1217565401
Scotland,2024,lgv,9643648082.0,0.1970904952670389,1951199.31643106
Wales,2024,lgv,5393542076.0,0.1787117863179954,1091275.36823708
North West,2024,lgv,9705285804.0,0.163935584890068,1963670.47672332
London,2024,lgv,4944375282.0,0.1581011192589733,1000395.45080706
East of England,2024,lgv,11198109588.0,0.1817635626515088,2265713.5129400403
Yorkshire and the Humber,2024,lgv,7841026348.0,0.1726322502923147,1586474.86099084
South East,2024,lgv,14976196172.0,0.1736124326038693,3030133.77148076
West Midlands,2024,lgv,8819344134.0,0.167353781882146,1784417.89863222
North East,2024,lgv,3491945932.0,0.1666218717123703,706525.4204215601
South West,2015,hgv,2261605502.0,0.0423410665863211,1529138.0912517512
East Midlands,2015,hgv,3059355340.0,0.0693170754830499,2068520.2529492485
Scotland,2015,hgv,2510570400.0,0.0557367794860068,1697470.5915838126
Wales,2015,hgv,1104329108.0,0.0384257859310777,746669.4358620591
North West,2015,hgv,3050343036.0,0.0540935463893399,2062426.7687743322
London,2015,hgv,1067636156.0,0.0337604706313421,721860.2502927573
East of England,2015,hgv,3301239142.0,0.0570659960329493,2232065.0157153043
Yorkshire and the Humber,2015,hgv,2882167006.0,0.0660451462773313,1948718.0015816987
South East,2015,hgv,3920030372.0,0.0456659698722335,2650447.9916537507
West Midlands,2015,hgv,3121475864.0,0.0620960125498231,2110521.7688692072
North East,2015,hgv,714064158.0,0.0382490108014447,482799.80864470365
South West,2016,hgv,2269974070.0,0.0410758643986848,1534796.3265570307
East Midlands,2016,hgv,3146903436.0,0.0693650230578219,2127714.099219864
Scotland,2016,hgv,2562230214.0,0.0550398772051731,1732399.313372172
Wales,2016,hgv,1112858610.0,0.0372471074914355,752436.4833847478
North West,2016,hgv,3062734954.0,0.0539834455683707,2070805.3095148422
London,2016,hgv,1027080788.0,0.0317781207986854,694439.5715056341
East of England,2016,hgv,3371889168.0,0.0572541925470081,2279833.5791579513
Yorkshire and the Humber,2016,hgv,2890857442.0,0.0640929120653667,1954593.8613217967
South East,2016,hgv,3930652016.0,0.0449928340106329,2657629.598002759
West Midlands,2016,hgv,3154789202.0,0.061457575681573,2133045.8978729155
North East,2016,hgv,718731244.0,0.0379526314447664,485955.36294957093
South West,2017,hgv,2304413946.0,0.0405597178749982,1558082.1410826035
East Midlands,2017,hgv,3177802764.0,0.0688839584728734,2148606.0449624336
Scotland,2017,hgv,2614050962.0,0.054742951124652,1767436.8473779403
Wales,2017,hgv,1132653492.0,0.0377486001158524,765820.3861260816
North West,2017,hgv,3080920496.0,0.0540842905815812,2083101.0900820838
London,2017,hgv,975099106.0,0.0302113146583962,659293.2252824565
East of England,2017,hgv,3450746828.0,0.0565996895754363,2333151.5656884685
Yorkshire and the Humber,2017,hgv,2921113034.0,0.0646428456955222,1975050.5581947297
South East,2017,hgv,3961873212.0,0.0450755287009063,2678739.1681801477
West Midlands,2017,hgv,3215783188.0,0.0620574424209297,2174285.7282710094
North East,2017,hgv,734502776.0,0.0380641018156343,496618.96025567444
South West,2018,hgv,2309241966.0,0.0406769570948675,1561346.50760488
East Midlands,2018,hgv,3205322478.0,0.0688752485519149,2167212.93413941
Scotland,2018,hgv,2610027612.0,0.0545166679552383,1764716.5419427098
Wales,2018,hgv,1130722284.0,0.0371182384421539,764514.6395171711
North West,2018,hgv,3063378690.0,0.0531162362395881,2071240.558384479
London,2018,hgv,962224386.0,0.0299056164938553,650588.247889719
East of England,2018,hgv,3514959494.0,0.0577097364867899,2376567.6404347466
Yorkshire and the Humber,2018,hgv,2936401764.0,0.0638514542075959,1985387.7188486054
South East,2018,hgv,3970080846.0,0.0452740226324231,2684288.591268018
West Midlands,2018,hgv,3222220548.0,0.0618516573476259,2178638.2169673783
North East,2018,hgv,738043324.0,0.0374902922542407,499012.8290386772
South West,2019,hgv,2344003710.0,0.0404206074330624,1584849.9465652711
East Midlands,2019,hgv,3227209502.0,0.068002088928678,2182011.395707064
Scotland,2019,hgv,2587174984.0,0.0535124627183638,1749265.2070706007
Wales,2019,hgv,1128147340.0,0.0367377313795778,762773.6440386234
North West,2019,hgv,3049860234.0,0.051805298896701,2062100.3321221047
London,2019,hgv,961580650.0,0.0294853510854063,650152.9990200821
East of England,2019,hgv,3491302196.0,0.057142556111335,2360572.2444755915
Yorkshire and the Humber,2019,hgv,3040365128.0,0.0652447195015817,2055680.4112949606
South East,2019,hgv,3937250310.0,0.0445727465848512,2662090.898916537
West Midlands,2019,hgv,3217231594.0,0.0613258482115467,2175265.0382276922
North East,2019,hgv,716478168.0,0.0350564982873341,484431.99190584186
South West,2020,hgv,2133180170.0,0.0476204162430347,1442305.9417591947
East Midlands,2020,hgv,3024432662.0,0.0804298608644294,2044908.0017714482
Scotland,2020,hgv,2259352426.0,0.0605952046960312,1527614.720208022
Wales,2020,hgv,1026597986.0,0.0437724300251833,694113.1348534065
North West,2020,hgv,2953299834.0,0.0630127014322161,1996813.0016765734
London,2020,hgv,954338620.0,0.0356936485770693,645256.4492366672
East of England,2020,hgv,3391844984.0,0.0693759587088619,2293326.2941166945
Yorkshire and the Humber,2020,hgv,2916445948.0,0.0783708278194383,1971895.0038898622
South East,2020,hgv,3675571626.0,0.0538418197634533,2485162.2334091472
West Midlands,2020,hgv,3093151480.0,0.076197272438947,2091370.8186051846
North East,2020,hgv,648242152.0,0.0400011916938935,438295.61172433314
South West,2021,hgv,2334830472.0,0.045897884483364,1578647.6501729458
East Midlands,2021,hgv,3337288358.0,0.0789562860047441,2256438.9524149694
Scotland,2021,hgv,2499626888.0,0.0581646600632875,1690071.360799986
Wales,2021,hgv,1119295970.0,0.0421870545489836,756788.9720811164
North West,2021,hgv,3119705590.0,0.0596523944043376,2109324.834477706
London,2021,hgv,1022735570.0,0.0344382847512369,691501.6416355852
East of England,2021,hgv,3483416430.0,0.0641755465817515,2355240.4458225397
Yorkshire and the Humber,2021,hgv,3148995578.0,0.0770451395451395,2129128.658046183
South East,2021,hgv,3921639712.0,0.0519515959850933,2651536.1138278428
West Midlands,2021,hgv,3434492494.0,0.075407229426522,2322161.5317301373
North East,2021,hgv,718731244.0,0.0398206022130482,485955.36294957093
South West,2022,hgv,2274158354.0,0.0417215336376358,1537625.4442096704
East Midlands,2022,hgv,3323769902.0,0.0718097960063559,2247298.726152595
Scotland,2022,hgv,2505420512.0,0.0533552676674206,1693988.6006267176
Wales,2022,hgv,1096443342.0,0.0375297461660497,741337.6372090074
North West,2022,hgv,3053883584.0,0.0540275832222943,2064820.6375573352
London,2022,hgv,1043817924.0,0.0339769715129862,705756.0421161929
East of England,2022,hgv,3521718722.0,0.0590290141240194,2381137.753565934
Yorkshire and the Humber,2022,hgv,3097979500.0,0.0705790044877247,2094635.185127461
South East,2022,hgv,3948193822.0,0.0475260605849271,2669490.1297003636
West Midlands,2022,hgv,3397799542.0,0.0675438764868098,2297352.3461608356
North East,2022,hgv,708431468.0,0.0358512847660544,478991.38103538094
South West,2023,hgv,2232315514.0,0.0399930802831317,1509334.2676832734
East Midlands,2023,hgv,3244590374.0,0.0686390331092007,2193763.1151872594
Scotland,2023,hgv,2431069004.0,0.0506280750204442,1643717.3561836586
Wales,2023,hgv,1056370776.0,0.0354828072717051,714243.395074112
North West,2023,hgv,2960059062.0,0.0512104464521877,2001383.1148077608
London,2023,hgv,999400140.0,0.0323494785534938,675723.8701112485
East of England,2023,hgv,3473599456.0,0.0569480649689191,2348602.900560578
Yorkshire and the Humber,2023,hgv,3018639038.0,0.0672805142258633,2040990.7619447163
South East,2023,hgv,3855978640.0,0.0453589433410761,2607140.7291248813
West Midlands,2023,hgv,3306871832.0,0.0641713902031511,2235873.443324627
North East,2023,hgv,690245926.0,0.0338585660830162,466695.6004681392
South West,2024,hgv,2135111378.0,0.0377655501438945,1443611.688368105
East Midlands,2024,hgv,3213691046.0,0.0670152394312312,2172871.169444689
Scotland,2024,hgv,2442978120.0,0.0499279695301245,1651769.4602719408
Wales,2024,hgv,1067636156.0,0.0353754845865483,721860.2502927573
North West,2024,hgv,2940746982.0,0.0496732488093425,1988325.6487186544
London,2024,hgv,901069466.0,0.0288125562845748,609239.6052742158
East of England,2024,hgv,3438193976.0,0.0558074897600936,2324664.2127305493
Yorkshire and the Humber,2024,hgv,2954748240.0,0.0650533253020586,1997792.3116332565
South East,2024,hgv,3733990668.0,0.0432865058487714,2524661.068328694
West Midlands,2024,hgv,3220933076.0,0.061119661878237,2177767.719228104
North East,2024,hgv,685900708.0,0.0327284734647489,463757.67059809034
