region_name,bus,car,hgv,lgv,motorcycle
East of England,0.011144025623549098,0.6178415257309872,0.1861632685610346,0.18144239106962656,0.003408789014802518
North West,0.011533203887144197,0.6511983057364077,0.16860487598482726,0.16651418112338098,0.0021494332682398167
South East,0.010283173806871352,0.657236590314166,0.14945026011480758,0.17937230704406928,0.0036576687200857434
South West,0.01324598545953885,0.6621447692978744,0.13192570883869967,0.18850079501180841,0.00418274139207865
West Midlands,0.009694490467874664,0.6211907211914972,0.20166979328802534,0.16524406417602863,0.0022009308765742123
