region_name,pct_change_2015_2024
North East,10.668926314403352
East Midlands,8.40292584602473
Scotland,7.136945053811458
East of England,6.247790347425572
South West,4.654174693410953
West Midlands,4.29052834661795
Wales,4.17512258229761
Yorkshire and the Humber,3.735890997092465
North West,3.540783858619651
South East,0.04114255150989192
London,-3.7407528964244365
