Scenario,UK total CO2e (Mt),Reduction (Mt),Reduction (%)
Baseline,108.0125573109414,0.0,0.0
HGV electrified 10%,106.2049252304525,1.8076320804888903,1.6735388231621675
HGV electrified 20%,104.39729314996359,3.6152641609778104,3.3470776463243626
HGV electrified 30%,102.58966106947469,5.422896241466716,5.020616469486543
