region_name,total_co2e,hgv_co2e,abs_reduction,pct_reduction
South East,16892985.44137194,2524661.068328694,504932.2136657387,2.989005202296151
East of England,12487233.548805013,2324664.2127305493,464932.8425461091,3.7232653712206867
West Midlands,10798680.772771014,2177767.719228104,435553.54384562,4.033395865760499
East Midlands,10013957.407825785,2172871.169444689,434574.23388893716,4.339685263183991
Yorkshire and the Humber,9432647.281145116,1997792.3116332565,399558.46232665144,4.235910136545945
