year,yhat,yhat_lower,yhat_upper
2025,109457624.60054432,106664816.01429707,112289785.1156101
2026,110843897.63864014,101855571.57430829,120096124.51410225
2027,112230170.67673597,94372420.40932018,130429695.73808326
2028,113616443.71483177,84609141.86663513,141700497.77323422
2029,115006514.76125117,74280162.79741715,154700909.92929652
2030,116392787.79934697,64254987.05657162,169272353.32432795
